id,created_at,current_mA,flow_rate,doc_number,time,audio_url
9881,2025-04-22 06:48:08.395871+00,7216.25,56.97,11208,48:06.8,
9880,2025-04-22 06:47:56.801083+00,7261.25,56.97,11207,47:55.2,
9879,2025-04-22 06:47:45.178445+00,6630,57.09,11206,47:43.6,
9878,2025-04-22 06:47:33.577641+00,6852.5,56.85,11205,47:31.9,
9877,2025-04-22 06:47:21.939633+00,7033.75,56.85,11204,47:20.3,
9876,2025-04-22 06:47:10.322666+00,7345,56.97,11203,47:08.7,
9875,2025-04-22 06:46:58.74599+00,7433.75,56.97,11202,46:57.1,
9874,2025-04-22 06:46:47.116931+00,7388.75,57.09,11201,46:45.5,
9873,2025-04-22 06:46:35.476378+00,7613.75,56.97,11200,46:33.9,
9872,2025-04-22 06:46:23.872575+00,7565,56.97,11199,46:22.3,
9871,2025-04-22 06:46:12.268346+00,7615,57.09,11198,46:10.6,
9870,2025-04-22 06:46:00.634781+00,7562.5,57.21,11197,45:59.0,
9869,2025-04-22 06:45:48.97294+00,7175,57.09,11196,45:47.3,
9868,2025-04-22 06:45:37.347705+00,7638.75,56.97,11195,45:35.7,
9867,2025-04-22 06:45:25.748616+00,7555,57.09,11194,45:24.1,
9866,2025-04-22 06:45:14.128994+00,7387.5,57.09,11193,45:12.5,
9865,2025-04-22 06:45:02.500671+00,7743.75,57.21,11192,45:00.9,
9864,2025-04-22 06:44:50.88825+00,7511.25,57.21,11191,44:49.3,
9863,2025-04-22 06:44:39.29028+00,7720,57.09,11190,44:37.6,
9862,2025-04-22 06:44:27.543783+00,7331.25,57.09,11189,44:25.9,
9861,2025-04-22 06:44:15.882425+00,6875,57.09,11188,44:14.3,
9860,2025-04-22 06:44:04.295353+00,7612.5,57.09,11187,44:02.6,
9859,2025-04-22 06:43:52.591907+00,6460,56.97,11186,43:51.0,
9858,2025-04-22 06:43:40.981306+00,7685,57.09,11185,43:39.4,
9857,2025-04-22 06:43:29.349303+00,7610,57.09,11184,43:27.7,
9856,2025-04-22 06:43:17.711991+00,6476.25,57.09,11183,43:16.1,
9855,2025-04-22 06:43:06.057015+00,7378.75,57.09,11182,43:04.4,
9854,2025-04-22 06:42:54.419123+00,7068.75,57.09,11181,42:52.8,
9853,2025-04-22 06:42:42.795075+00,7121.25,57.33,11180,42:41.2,
9852,2025-04-22 06:42:31.171875+00,7082.5,57.09,11179,42:29.5,
9851,2025-04-22 06:42:19.545419+00,6723.75,56.97,11178,42:17.9,
