id,created_at,current_mA,flow_rate,doc_number,time,audio_url
24507,2025-04-24 07:20:23.601893+00,2.5,0,26052,2025-04-24 07:20:20.605,
24506,2025-04-24 07:19:54.082243+00,2.5,0,26050,2025-04-24 07:19:48.240,
24505,2025-04-24 07:17:25.570077+00,1.25,0,26049,2025-04-24 07:17:23.802,
24504,2025-04-24 07:17:13.79966+00,1.25,0,26048,2025-04-24 07:17:12.182,
24503,2025-04-24 07:17:02.181826+00,2.5,0,26047,2025-04-24 07:17:00.542,
24502,2025-04-24 07:16:50.547182+00,1.25,0,26046,2025-04-24 07:16:48.852,
24501,2025-04-24 07:16:38.845366+00,2.5,0,26045,2025-04-24 07:16:37.177,
24500,2025-04-24 07:16:10.684623+00,2.5,0,26043,2025-04-24 07:16:09.072,
24499,2025-04-24 07:15:59.079965+00,2.5,0,26042,2025-04-24 07:15:57.412,
24498,2025-04-24 07:15:47.409176+00,2.5,0,26041,2025-04-24 07:15:43.632,
24497,2025-04-24 07:15:33.63079+00,2.5,0,26040,2025-04-24 07:15:32.012,
24496,2025-04-24 07:15:21.97041+00,0,0,26039,2025-04-24 07:15:20.322,
24495,2025-04-24 07:15:10.328227+00,1918.75,25.58,26038,2025-04-24 07:15:08.642,
24494,2025-04-24 07:14:58.649782+00,662.5,29.58,26037,2025-04-24 07:14:57.042,
24493,2025-04-24 07:14:47.029488+00,4458.75,37.94,26036,2025-04-24 07:14:45.422,
24492,2025-04-24 07:14:35.4261+00,6218.75,36.97,26035,2025-04-24 07:14:33.812,
24491,2025-04-24 07:14:23.812677+00,3633.75,42.55,26034,2025-04-24 07:14:22.153,
24490,2025-04-24 07:14:12.159839+00,7633.75,59.27,26033,2025-04-24 07:14:10.532,
24489,2025-04-24 07:14:00.536116+00,8196.25,59.27,26032,2025-04-24 07:13:58.892,
24488,2025-04-24 07:13:48.893723+00,6637.5,55.52,26031,2025-04-24 07:13:47.252,
24487,2025-04-24 07:13:37.24995+00,7007.5,56.73,26030,2025-04-24 07:13:35.622,
24486,2025-04-24 07:13:25.62161+00,8627.5,56.24,26029,2025-04-24 07:13:23.972,
24485,2025-04-24 07:13:13.975563+00,9780,55.52,26028,2025-04-24 07:13:12.332,
24484,2025-04-24 07:13:02.331383+00,8085,55.76,26027,2025-04-24 07:13:00.732,
24483,2025-04-24 07:12:50.731687+00,8150,56.12,26026,2025-04-24 07:12:49.132,
24482,2025-04-24 07:12:39.124398+00,7858.75,55.76,26025,2025-04-24 07:12:37.542,
24481,2025-04-24 07:12:27.543924+00,8276.25,55.88,26024,2025-04-24 07:12:25.932,
24480,2025-04-24 07:12:15.933592+00,8638.75,55.39,26023,2025-04-24 07:12:14.322,
24479,2025-04-24 07:12:04.325412+00,8666.25,55.27,26022,2025-04-24 07:12:02.732,
24478,2025-04-24 07:11:52.737118+00,9491.25,55.52,26021,2025-04-24 07:11:51.106,
24477,2025-04-24 07:11:41.106095+00,8755,56.36,26020,2025-04-24 07:11:39.493,
24476,2025-04-24 07:11:29.493046+00,9360,56.12,26019,2025-04-24 07:11:27.882,
24475,2025-04-24 07:11:17.87668+00,8510,55.76,26018,2025-04-24 07:11:16.233,
24474,2025-04-24 07:11:06.226418+00,7566.25,54.67,26017,2025-04-24 07:11:04.542,
24473,2025-04-24 07:10:54.540949+00,9727.5,55.27,26016,2025-04-24 07:10:52.872,
24472,2025-04-24 07:10:42.869762+00,7081.25,55.76,26015,2025-04-24 07:10:41.222,
24471,2025-04-24 07:10:31.222191+00,8191.25,55.03,26014,2025-04-24 07:10:29.603,
24470,2025-04-24 07:10:19.60554+00,6871.25,55.15,26013,2025-04-24 07:10:17.992,
24469,2025-04-24 07:10:07.987709+00,9262.5,53.33,26012,2025-04-24 07:10:06.342,
24468,2025-04-24 07:09:56.315127+00,8152.5,54.3,26011,2025-04-24 07:09:54.703,
24467,2025-04-24 07:09:44.698374+00,8623.75,53.82,26010,2025-04-24 07:09:43.092,
24466,2025-04-24 07:09:33.090712+00,8652.5,53.45,26009,2025-04-24 07:09:31.463,
24465,2025-04-24 07:09:21.464173+00,7395,54.18,26008,2025-04-24 07:09:19.862,
24464,2025-04-24 07:09:09.861566+00,2150,54.06,26007,2025-04-24 07:09:08.233,
24463,2025-04-24 07:08:58.23365+00,8547.5,54.06,26006,2025-04-24 07:08:56.602,
24462,2025-04-24 07:08:46.591411+00,9182.5,53.58,26005,2025-04-24 07:08:44.992,
24461,2025-04-24 07:08:34.989277+00,5888.75,52.73,26004,2025-04-24 07:08:33.392,
24460,2025-04-24 07:08:23.381956+00,8013.75,53.94,26003,2025-04-24 07:08:21.782,
24459,2025-04-24 07:08:11.712256+00,6060,53.7,26002,2025-04-24 07:08:10.132,
24458,2025-04-24 07:08:00.129457+00,9903.75,53.7,26001,2025-04-24 07:07:58.542,
24457,2025-04-24 07:07:48.535704+00,10668.75,52.24,26000,2025-04-24 07:07:46.922,
24456,2025-04-24 07:07:36.913253+00,9828.75,50.42,25999,2025-04-24 07:07:35.302,
24455,2025-04-24 07:07:25.302666+00,8643.75,51.76,25998,2025-04-24 07:07:23.727,
24454,2025-04-24 07:07:13.725027+00,9047.5,51.76,25997,2025-04-24 07:07:12.128,
24453,2025-04-24 07:07:02.122919+00,10038.75,49.82,25996,2025-04-24 07:07:00.512,
24452,2025-04-24 07:06:50.508137+00,9056,45.45,25995,2025-04-24 07:06:48.892,
24451,2025-04-24 07:06:38.889652+00,10007.5,58.18,25994,2025-04-24 07:06:37.252,
24450,2025-04-24 07:06:27.240626+00,8722.5,60.36,25993,2025-04-24 07:06:25.622,
24449,2025-04-24 07:06:15.613517+00,8520,60.61,25992,2025-04-24 07:06:14.002,
24448,2025-04-24 07:06:03.999477+00,8276.25,59.27,25991,2025-04-24 07:06:02.417,
24447,2025-04-24 07:05:52.417325+00,8495,59.76,25990,2025-04-24 07:05:50.812,
24446,2025-04-24 07:05:40.813185+00,8343.75,60.48,25989,2025-04-24 07:05:39.242,
24445,2025-04-24 07:05:29.240976+00,8627.5,61.21,25988,2025-04-24 07:05:27.652,
24444,2025-04-24 07:05:17.656181+00,9247.5,60.73,25987,2025-04-24 07:05:16.013,
24443,2025-04-24 07:05:06.010791+00,8375,60.48,25986,2025-04-24 07:05:04.402,
24442,2025-04-24 07:04:54.403879+00,8875,60.85,25985,2025-04-24 07:04:52.802,
24441,2025-04-24 07:04:42.801255+00,8632.5,60.24,25984,2025-04-24 07:04:41.202,
24440,2025-04-24 07:04:31.200376+00,8505,60.24,25983,2025-04-24 07:04:29.622,
24439,2025-04-24 07:04:19.606984+00,8391.25,60.48,25982,2025-04-24 07:04:17.992,
24438,2025-04-24 07:04:07.990023+00,8410,60.48,25981,2025-04-24 07:04:06.382,
24437,2025-04-24 07:03:56.380029+00,9016.25,60.73,25980,2025-04-24 07:03:54.702,
24436,2025-04-24 07:03:44.697184+00,9566.25,56.73,25979,2025-04-24 07:03:43.112,
24435,2025-04-24 07:03:33.110318+00,8695,59.76,25978,2025-04-24 07:03:31.482,
24434,2025-04-24 07:03:21.482119+00,8361.25,59.39,25977,2025-04-24 07:03:19.882,
24433,2025-04-24 07:03:09.8798+00,8020,59.64,25976,2025-04-24 07:03:08.272,
24432,2025-04-24 07:02:58.265287+00,8170,59.88,25975,2025-04-24 07:02:56.612,
24431,2025-04-24 07:02:46.602861+00,8907.5,59.76,25974,2025-04-24 07:02:44.983,
24430,2025-04-24 07:02:34.981648+00,8765,59.76,25973,2025-04-24 07:02:33.362,
24429,2025-04-24 07:02:23.356882+00,8397.5,60.36,25972,2025-04-24 07:02:21.723,
24428,2025-04-24 07:02:11.727576+00,8726.25,60.36,25971,2025-04-24 07:02:10.113,
24427,2025-04-24 07:02:00.141003+00,9101.25,60.24,25970,2025-04-24 07:01:58.523,
24426,2025-04-24 07:01:48.545404+00,8661.25,60.12,25969,2025-04-24 07:01:46.893,
24425,2025-04-24 07:01:36.912591+00,7968.75,59.88,25968,2025-04-24 07:01:35.283,
24424,2025-04-24 07:01:25.3105+00,8716.25,60.24,25967,2025-04-24 07:01:23.683,
24423,2025-04-24 07:01:13.701327+00,8800,60.48,25966,2025-04-24 07:01:12.063,
24422,2025-04-24 07:01:02.086485+00,9365,60.24,25965,2025-04-24 07:01:00.443,
24421,2025-04-24 07:00:50.462601+00,8267.5,60.12,25964,2025-04-24 07:00:48.783,
24420,2025-04-24 07:00:38.803807+00,8862.5,60.24,25963,2025-04-24 07:00:37.203,
24419,2025-04-24 07:00:27.227064+00,8387.5,60.24,25962,2025-04-24 07:00:25.603,
24418,2025-04-24 07:00:15.624049+00,8476.25,60.12,25961,2025-04-24 07:00:14.013,
24417,2025-04-24 07:00:04.030299+00,8842.5,60.24,25960,2025-04-24 07:00:02.413,
24416,2025-04-24 06:59:52.409937+00,9326.25,60.12,25959,2025-04-24 06:59:50.773,
24415,2025-04-24 06:59:40.795432+00,8841.25,60,25958,2025-04-24 06:59:39.173,
24414,2025-04-24 06:59:29.197555+00,9843.75,60.12,25957,2025-04-24 06:59:27.553,
24413,2025-04-24 06:59:17.575641+00,8947.5,60.24,25956,2025-04-24 06:59:15.963,
24412,2025-04-24 06:59:05.98604+00,8612.5,60.61,25955,2025-04-24 06:59:04.284,
24411,2025-04-24 06:58:54.303466+00,9097.5,54.91,25954,2025-04-24 06:58:52.693,
24410,2025-04-24 06:58:42.713333+00,8291.25,60.36,25953,2025-04-24 06:58:41.094,
24409,2025-04-24 06:58:31.115911+00,8525,60.61,25952,2025-04-24 06:58:29.504,
24408,2025-04-24 06:58:19.527766+00,8708.75,60.48,25951,2025-04-24 06:58:17.893,
24407,2025-04-24 06:58:07.913041+00,8543.75,60.36,25950,2025-04-24 06:58:06.263,
24406,2025-04-24 06:57:56.278449+00,9133.75,60.61,25949,2025-04-24 06:57:54.613,
24405,2025-04-24 06:57:44.635836+00,8751.25,60.85,25948,2025-04-24 06:57:43.014,
24404,2025-04-24 06:57:33.037434+00,9113.75,60.97,25947,2025-04-24 06:57:31.363,
24403,2025-04-24 06:57:21.385285+00,9260,61.33,25946,2025-04-24 06:57:19.763,
24402,2025-04-24 06:57:09.787222+00,9065,61.33,25945,2025-04-24 06:57:08.183,
24401,2025-04-24 06:56:58.210399+00,9462.5,61.45,25944,2025-04-24 06:56:56.584,
24400,2025-04-24 06:56:46.594339+00,9253.75,61.33,25943,2025-04-24 06:56:44.993,
24399,2025-04-24 06:56:35.011864+00,9382.5,61.58,25942,2025-04-24 06:56:33.373,
24398,2025-04-24 06:56:23.391041+00,9192.5,61.21,25941,2025-04-24 06:56:21.793,
24397,2025-04-24 06:56:11.808049+00,9311.25,61.58,25940,2025-04-24 06:56:10.183,
24396,2025-04-24 06:56:00.202639+00,9247.5,61.09,25939,2025-04-24 06:55:58.553,
24395,2025-04-24 06:55:48.568982+00,9287.5,61.33,25938,2025-04-24 06:55:46.924,
24394,2025-04-24 06:55:36.941819+00,8897.5,61.26,25937,2025-04-24 06:55:35.313,
24393,2025-04-24 06:55:25.32584+00,9031.25,61.21,25936,2025-04-24 06:55:23.693,
24392,2025-04-24 06:55:13.708776+00,8765,61.33,25935,2025-04-24 06:55:12.103,
24391,2025-04-24 06:55:02.125387+00,9208.75,61.21,25934,2025-04-24 06:55:00.483,
24390,2025-04-24 06:54:50.502664+00,9288.75,61.09,25933,2025-04-24 06:54:48.883,
24389,2025-04-24 06:54:38.898987+00,9186.25,60.85,25932,2025-04-24 06:54:37.263,
24388,2025-04-24 06:54:27.270392+00,8958.75,61.09,25931,2025-04-24 06:54:25.633,
24387,2025-04-24 06:54:15.653817+00,9321.25,61.21,25930,2025-04-24 06:54:14.033,
24386,2025-04-24 06:54:04.054312+00,8908.75,60.97,25929,2025-04-24 06:54:02.393,
