id,created_at,current_mA,flow_rate,doc_number,time,audio_url
10520,2025-04-22 06:48:40.779576+00,8028.75,64,10904,2025-04-22 06:48:39.215,
10519,2025-04-22 06:48:29.182363+00,7900,64.12,10903,2025-04-22 06:48:27.555,
10518,2025-04-22 06:48:17.521681+00,7933.75,64.24,10902,2025-04-22 06:48:15.925,
10517,2025-04-22 06:48:05.885678+00,8158.75,64.12,10901,2025-04-22 06:48:04.325,
10516,2025-04-22 06:47:54.296668+00,7340,64,10900,2025-04-22 06:47:52.755,
10515,2025-04-22 06:47:42.72202+00,7155,64.24,10899,2025-04-22 06:47:41.155,
10514,2025-04-22 06:47:31.124337+00,7925,64,10898,2025-04-22 06:47:29.565,
10513,2025-04-22 06:47:19.530947+00,7552.5,64.12,10897,2025-04-22 06:47:17.935,
10512,2025-04-22 06:47:07.743863+00,7498.75,64.12,10896,2025-04-22 06:47:06.065,
10511,2025-04-22 06:46:56.024967+00,7050,64,10895,2025-04-22 06:46:54.375,
10510,2025-04-22 06:46:44.345135+00,7038.75,64.24,10894,2025-04-22 06:46:42.775,
10509,2025-04-22 06:46:32.739012+00,7922.5,64.12,10893,2025-04-22 06:46:31.145,
10508,2025-04-22 06:46:21.108504+00,7141.25,64.24,10892,2025-04-22 06:46:19.535,
10507,2025-04-22 06:46:09.500189+00,7471.25,63.88,10891,2025-04-22 06:46:07.945,
10506,2025-04-22 06:45:57.912883+00,7480,63.88,10890,2025-04-22 06:45:56.325,
10505,2025-04-22 06:45:46.282975+00,7741.25,63.76,10889,2025-04-22 06:45:44.735,
10504,2025-04-22 06:45:34.689696+00,7621.25,63.88,10888,2025-04-22 06:45:33.075,
10503,2025-04-22 06:45:23.045289+00,7770,63.88,10887,2025-04-22 06:45:21.405,
10502,2025-04-22 06:45:11.36652+00,7797.5,64,10886,2025-04-22 06:45:09.795,
10501,2025-04-22 06:44:59.769735+00,7393.75,64.12,10885,2025-04-22 06:44:58.205,
10500,2025-04-22 06:44:48.174854+00,7456.25,63.88,10884,2025-04-22 06:44:46.605,
10499,2025-04-22 06:44:36.575256+00,7835,64,10883,2025-04-22 06:44:34.945,
10498,2025-04-22 06:44:24.909375+00,6560,64.24,10882,2025-04-22 06:44:23.325,
10497,2025-04-22 06:44:13.212845+00,7862.5,64.24,10881,2025-04-22 06:44:11.645,
10496,2025-04-22 06:44:01.598618+00,7390,64.24,10880,2025-04-22 06:44:00.045,
10495,2025-04-22 06:43:50.01182+00,7192.5,64.36,10879,2025-04-22 06:43:48.425,
10494,2025-04-22 06:43:38.385219+00,7183.75,64.48,10878,2025-04-22 06:43:36.815,
10493,2025-04-22 06:43:26.780248+00,7907.5,64.36,10877,2025-04-22 06:43:25.245,
10492,2025-04-22 06:43:15.211134+00,7356.25,64.24,10876,2025-04-22 06:43:13.615,
10491,2025-04-22 06:43:03.587031+00,7628.75,64.36,10875,2025-04-22 06:43:02.025,
10490,2025-04-22 06:42:51.991051+00,7157.5,64.36,10874,2025-04-22 06:42:50.455,
10489,2025-04-22 06:42:40.424397+00,7707.5,64.12,10873,2025-04-22 06:42:38.865,
10488,2025-04-22 06:42:28.82468+00,7527.5,64,10872,2025-04-22 06:42:27.265,
10487,2025-04-22 06:42:17.204214+00,7492.5,64.12,10871,2025-04-22 06:42:15.645,
10486,2025-04-22 06:42:05.607025+00,7417.5,64.12,10870,2025-04-22 06:42:04.015,
10485,2025-04-22 06:41:53.958796+00,7286.25,64.36,10869,2025-04-22 06:41:52.385,
10484,2025-04-22 06:41:42.357517+00,7887.5,64.24,10868,2025-04-22 06:41:40.795,
10483,2025-04-22 06:41:30.762082+00,7907.5,64.12,10867,2025-04-22 06:41:29.065,
10482,2025-04-22 06:41:19.035912+00,7588.75,64.36,10866,2025-04-22 06:41:17.485,
10481,2025-04-22 06:41:07.456299+00,7097.5,64.36,10865,2025-04-22 06:41:05.865,
10480,2025-04-22 06:40:55.774937+00,7812.5,64.36,10864,2025-04-22 06:40:54.205,
10479,2025-04-22 06:40:44.170098+00,7873.75,64.24,10863,2025-04-22 06:40:42.546,
10478,2025-04-22 06:40:32.551743+00,7581.25,64.36,10862,2025-04-22 06:40:30.906,
10477,2025-04-22 06:40:20.908769+00,7877.5,64.24,10861,2025-04-22 06:40:19.276,
10476,2025-04-22 06:40:09.283715+00,7690,64.36,10860,2025-04-22 06:40:07.646,
10475,2025-04-22 06:39:57.636501+00,7665,64.24,10859,2025-04-22 06:39:55.986,
10474,2025-04-22 06:39:45.991336+00,6956.25,64,10858,2025-04-22 06:39:44.326,
10473,2025-04-22 06:39:34.328187+00,7870,64.12,10857,2025-04-22 06:39:32.706,
10472,2025-04-22 06:39:22.715757+00,7386.25,64.24,10856,2025-04-22 06:39:21.116,
10471,2025-04-22 06:39:11.111464+00,7055,64.48,10855,2025-04-22 06:39:09.486,
10470,2025-04-22 06:38:59.452989+00,7868.75,64.36,10854,2025-04-22 06:38:57.816,
10469,2025-04-22 06:38:47.80727+00,6633.75,64.36,10853,2025-04-22 06:38:46.216,
10468,2025-04-22 06:38:36.217661+00,7646.25,64.48,10852,2025-04-22 06:38:34.556,
10467,2025-04-22 06:38:24.556362+00,7880,64.61,10851,2025-04-22 06:38:22.936,
10466,2025-04-22 06:38:12.93713+00,7623.75,64.36,10850,2025-04-22 06:38:11.336,
10465,2025-04-22 06:38:01.338052+00,7542.5,64.48,10849,2025-04-22 06:37:59.606,
10464,2025-04-22 06:37:49.606688+00,8021.25,64.48,10848,2025-04-22 06:37:47.946,
10463,2025-04-22 06:37:37.921755+00,7645,64.48,10847,2025-04-22 06:37:36.226,
10462,2025-04-22 06:37:26.234162+00,7961.25,64.61,10846,2025-04-22 06:37:24.626,
10461,2025-04-22 06:37:14.625384+00,7555,64.48,10845,2025-04-22 06:37:12.736,
10460,2025-04-22 06:37:02.739397+00,7726.25,64.48,10844,2025-04-22 06:37:01.026,
10459,2025-04-22 06:36:51.028499+00,8042.5,64.48,10843,2025-04-22 06:36:49.436,
10458,2025-04-22 06:36:39.442166+00,7390,64.36,10842,2025-04-22 06:36:37.786,
10457,2025-04-22 06:36:27.797742+00,6988.75,64.61,10841,2025-04-22 06:36:26.166,
10456,2025-04-22 06:36:16.173221+00,7513.75,64.61,10840,2025-04-22 06:36:14.556,
10455,2025-04-22 06:36:04.562772+00,7666.25,64.48,10839,2025-04-22 06:36:02.906,
10454,2025-04-22 06:35:52.907543+00,7716.25,64.48,10838,2025-04-22 06:35:51.286,
10453,2025-04-22 06:35:41.297881+00,6971.25,64.61,10837,2025-04-22 06:35:39.716,
10452,2025-04-22 06:35:29.718751+00,7981.25,64.48,10836,2025-04-22 06:35:28.116,
10451,2025-04-22 06:35:18.125415+00,7763.75,64.24,10835,2025-04-22 06:35:16.536,
10450,2025-04-22 06:35:06.543166+00,7206.25,64.48,10834,2025-04-22 06:35:04.956,
10449,2025-04-22 06:34:54.944959+00,8077.5,64.36,10833,2025-04-22 06:34:53.356,
10448,2025-04-22 06:34:43.348402+00,7186.25,64.48,10832,2025-04-22 06:34:41.686,
10447,2025-04-22 06:34:31.69119+00,7742.5,64.48,10831,2025-04-22 06:34:30.106,
10446,2025-04-22 06:34:20.107504+00,8012.5,64.24,10830,2025-04-22 06:34:18.516,
10445,2025-04-22 06:34:08.52656+00,6745,64.24,10829,2025-04-22 06:34:06.866,
10444,2025-04-22 06:33:56.868094+00,7685,64.24,10828,2025-04-22 06:33:55.256,
10443,2025-04-22 06:33:45.257096+00,7660,64.48,10827,2025-04-22 06:33:43.676,
10442,2025-04-22 06:33:33.666966+00,7747.5,64.61,10826,2025-04-22 06:33:32.066,
10441,2025-04-22 06:33:22.065576+00,7565,64.36,10825,2025-04-22 06:33:20.426,
10440,2025-04-22 06:33:10.430892+00,7222.5,64.48,10824,2025-04-22 06:33:08.806,
10439,2025-04-22 06:32:58.803976+00,7307.5,64.24,10823,2025-04-22 06:32:57.216,
10438,2025-04-22 06:32:47.223072+00,7730,64.48,10822,2025-04-22 06:32:45.566,
10437,2025-04-22 06:32:35.566072+00,7931.25,64.24,10821,2025-04-22 06:32:33.966,
10436,2025-04-22 06:32:23.977076+00,7348.75,64.38,10820,2025-04-22 06:32:22.396,
10435,2025-04-22 06:32:12.404619+00,7765,64.24,10819,2025-04-22 06:32:10.776,
